(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC,output per unit medium cost (mg/CNY)
8,18,28,45,17,40,142,172,23,34,37,42,24,24,26,26,3.220614151
15,18,76,23,25,40,119,208,204,45,37,89,14,12,9,11,0
23,24,66,68,25,21,119,81,204,45,0,89,28,18,21,51,0
30,47,28,23,25,17,108,135,0,68,19,89,24,41,9,6,0
60,6,9,204,17,51,62,190,204,102,12,118,21,35,34,16,0
68,6,57,113,21,51,142,190,204,102,37,89,17,29,21,21,0
45,6,85,23,36,28,51,135,181,57,25,89,42,41,21,36,0
0,41,38,91,36,36,96,208,204,102,6,108,28,35,26,21,5.966268993
0,47,47,45,40,51,51,190,23,68,0,80,14,53,26,46,7.531730734
0,18,19,23,28,47,96,226,91,91,0,80,31,29,30,46,7.19168579
0,18,0,91,51,43,85,153,159,68,6,108,38,6,17,26,6.144235252
0,35,28,159,51,47,119,208,159,57,0,108,14,18,38,6,5.147466904
0,41,0,45,21,32,62,117,136,102,0,89,31,35,34,31,9.082590345
0,29,9,113,17,51,96,117,204,102,0,70,17,35,26,41,4.538187605
0,47,47,181,32,21,96,190,68,57,0,80,14,6,26,16,4.485060181
0,47,28,181,28,40,142,226,113,79,0,108,21,24,21,41,4.992492655
0,24,19,181,43,36,62,190,45,102,0,80,17,18,34,21,4.818715288
0,18,47,45,28,36,74,117,159,102,6,118,10,35,42,6,8.531845001
0,18,0,204,28,25,130,172,181,91,0,99,24,47,5,26,4.706943105
0,47,0,113,51,36,108,190,68,79,0,89,42,41,13,36,5.579453439
0,41,0,0,36,25,51,190,113,57,0,108,24,24,21,31,8.833145395
0,41,47,68,28,25,142,172,113,79,0,89,10,18,17,41,5.303284478
0,41,19,159,21,43,153,190,113,102,0,118,42,6,26,16,4.713918919
0,29,47,91,51,51,130,226,136,79,0,118,31,53,38,41,5.570614594
0,53,0,113,47,36,51,244,113,102,6,118,17,24,17,51,7.086494717
0,35,28,68,17,28,108,172,23,102,6,80,10,29,42,6,6.241835093
0,53,47,68,28,28,108,172,181,91,6,89,35,6,30,26,5.483279987
0,24,0,204,32,28,119,172,68,91,0,80,28,29,38,46,4.515475792
0,12,28,23,28,43,85,135,68,68,0,89,10,47,21,26,8.517071917
0,12,19,23,32,21,119,153,159,102,0,118,42,41,30,6,5.703256506
0,0,9,23,47,40,74,190,159,79,6,118,14,47,42,41,5.205785574
0,53,0,136,51,43,51,226,23,102,6,89,21,29,13,31,6.382597337
0,0,9,23,25,36,119,226,204,102,6,127,35,41,26,6,4.786676567
0,6,38,204,28,40,96,117,0,102,0,127,38,47,21,46,4.548844083
0,29,28,45,51,28,130,208,159,79,0,127,21,24,5,6,5.964844865
0,41,57,159,36,32,142,226,181,68,6,99,28,53,30,31,4.627006446
0,6,0,45,25,28,74,135,159,102,0,108,17,41,34,6,6.278930628
0,35,19,91,43,43,96,172,113,68,6,80,10,35,5,16,5.468388162
0,18,0,45,40,28,130,208,113,91,6,99,21,35,5,16,6.387514207
0,35,38,113,32,32,153,208,204,45,0,80,28,53,30,26,5.231425937
0,29,0,113,36,32,85,190,159,45,6,127,38,0,13,26,5.964820965
0,41,9,45,25,25,108,117,0,57,6,89,31,18,21,6,7.809719078
0,6,0,113,21,51,119,244,91,57,6,99,31,47,34,46,4.400841181
0,24,28,159,17,32,108,208,136,57,6,70,42,24,26,51,5.148896069
0,6,47,159,43,21,108,81,181,68,6,80,35,53,9,21,4.911051845
0,24,47,113,40,51,74,81,0,79,0,70,35,47,34,16,4.837994246
0,41,28,159,17,32,119,153,181,79,6,42,28,41,30,46,3.320203928
0,41,47,159,51,51,108,117,204,91,6,118,38,12,17,31,4.503495545
0,0,47,181,36,43,85,172,45,91,6,70,21,24,34,6,4.052459145
0,29,57,68,21,32,74,81,113,57,0,118,38,35,26,36,9.541872768
0,53,28,136,40,40,142,99,68,91,6,70,17,41,5,31,4.644579594
0,35,0,113,21,36,85,135,23,0,0,108,10,35,30,16,6.676806342
0,35,47,45,43,17,119,172,181,91,0,108,42,35,38,41,6.794724064
0,35,9,136,40,47,74,244,91,68,0,42,28,18,9,31,3.924742174
0,18,9,91,21,43,62,135,45,11,0,80,17,53,30,36,7.96922758
0,0,38,204,32,51,119,99,45,57,0,108,42,29,17,36,4.237198952
0,24,19,45,21,47,153,117,91,102,6,108,14,6,13,41,5.919283027
0,29,57,113,51,47,96,208,0,79,0,127,31,24,30,21,5.223298831
8,35,0,45,43,40,96,244,136,102,6,108,31,12,38,51,6.76700929
0,29,0,91,17,36,85,135,0,68,0,70,42,18,17,16,5.285556621
0,53,38,136,40,51,74,81,204,23,0,80,10,12,42,26,7.061721378
0,41,28,23,28,17,62,172,91,68,0,70,14,47,13,31,6.903342962
0,41,0,68,47,51,62,226,113,34,0,127,35,53,30,41,6.562722103
0,12,0,113,51,40,62,117,45,102,6,61,14,47,38,11,5.313902203
8,29,19,23,21,51,74,226,204,68,6,108,17,47,5,41,6.499887573
0,35,47,23,40,28,153,135,91,68,0,70,17,0,42,46,4.74780562
0,53,19,45,43,40,62,190,23,34,6,89,17,12,34,11,7.491934887
0,6,38,204,21,43,153,153,0,102,0,99,31,29,21,36,3.52148417
0,35,28,113,51,40,74,99,45,57,6,70,31,29,26,36,6.09107414
0,24,38,68,28,21,153,244,91,79,0,61,10,47,5,6,4.395721873
0,18,0,68,28,21,153,190,91,102,6,127,17,18,38,26,5.058004438
0,12,9,136,21,36,96,135,0,34,6,80,35,24,5,11,5.947604898
0,35,76,0,28,32,96,153,45,57,6,80,14,35,30,16,6.625209127
0,29,9,159,47,40,119,81,45,57,0,118,28,0,9,16,6.71600047
0,35,28,204,47,47,142,190,0,23,6,108,21,12,9,11,3.918326373
0,41,9,91,25,28,74,153,68,79,6,51,42,53,38,46,3.741175058
0,35,38,136,36,17,51,172,181,68,0,61,28,6,17,11,4.454710408
0,12,47,204,21,17,85,153,159,68,6,42,31,6,42,36,3.390746722
0,24,9,23,43,36,108,99,181,34,0,118,28,47,9,11,7.797740956
