(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC,pred_titer_0,pred_titer_1,pred_titer_2,pred_titer_3,pred_titer_4,regressors_std,mean_vote,UCB
15.0,41.0,0.0,113.0,21.0,32.0,62.0,209.0,23.0,68.0,6.0,71.0,18.0,24.0,42.0,6.0,170.37433,198.38257,154.17694,140.52553,122.53045,28.977238,157.19797,186.1752
15.0,47.0,0.0,68.0,25.0,36.0,85.0,227.0,68.0,68.0,6.0,80.0,25.0,53.0,9.0,41.0,168.53928,198.92432,159.13148,133.88196,130.23352,28.01657,158.14212,186.15869
0.0,47.0,85.0,45.0,21.0,43.0,142.0,245.0,0.0,79.0,0.0,128.0,14.0,35.0,5.0,26.0,186.32008,186.71205,171.29944,163.08693,167.46399,10.92841,174.97649,185.90489
8.0,18.0,28.0,0.0,51.0,47.0,96.0,172.0,113.0,23.0,13.0,90.0,28.0,24.0,42.0,26.0,171.62512,201.90909,135.81606,125.43592,125.39247,33.732723,152.03574,185.76846
68.0,35.0,19.0,113.0,25.0,36.0,108.0,227.0,0.0,34.0,6.0,90.0,21.0,53.0,26.0,21.0,167.61015,204.10915,135.20882,120.52647,127.09564,34.806084,150.91005,185.71613
8.0,18.0,9.0,91.0,36.0,21.0,153.0,172.0,23.0,57.0,6.0,42.0,42.0,12.0,14.0,36.0,186.87245,185.32286,162.90186,145.93976,144.75539,20.4257,165.15846,185.58417
0.0,12.0,47.0,91.0,25.0,17.0,51.0,136.0,23.0,57.0,0.0,109.0,39.0,0.0,9.0,31.0,176.09865,177.1183,188.88092,181.31749,172.41391,6.2888994,179.16586,185.45476
0.0,24.0,19.0,45.0,43.0,21.0,62.0,136.0,68.0,23.0,13.0,118.0,39.0,53.0,38.0,31.0,194.0954,175.51027,161.07462,146.16435,149.87503,19.719099,165.34395,185.06305
0.0,35.0,0.0,181.0,36.0,36.0,85.0,154.0,0.0,91.0,19.0,90.0,42.0,41.0,34.0,31.0,179.05347,190.47217,146.50844,113.25307,138.45325,31.285027,153.54807,184.8331
0.0,6.0,66.0,91.0,21.0,51.0,119.0,154.0,0.0,0.0,0.0,128.0,18.0,30.0,30.0,46.0,183.57759,186.797,164.83775,160.8616,153.76233,14.494014,169.96725,184.46127
0.0,30.0,66.0,181.0,40.0,21.0,130.0,82.0,136.0,34.0,0.0,80.0,39.0,53.0,9.0,21.0,174.65108,186.67139,176.84323,179.64355,167.08542,7.147776,176.97893,184.12671
0.0,30.0,76.0,68.0,40.0,47.0,74.0,172.0,23.0,79.0,0.0,61.0,25.0,30.0,26.0,16.0,184.23543,147.38202,178.84608,171.96883,166.78407,14.200082,169.84328,184.04337
0.0,6.0,57.0,45.0,32.0,36.0,119.0,172.0,0.0,68.0,0.0,128.0,39.0,18.0,26.0,46.0,172.0146,188.85915,174.63199,172.45348,159.6583,10.393224,173.52351,183.91673
15.0,0.0,0.0,0.0,25.0,32.0,108.0,136.0,204.0,34.0,6.0,71.0,18.0,6.0,26.0,31.0,193.6846,176.08789,143.04303,128.74008,123.95824,30.49321,153.10278,183.596
8.0,18.0,19.0,159.0,21.0,17.0,51.0,154.0,204.0,102.0,6.0,61.0,32.0,24.0,18.0,46.0,177.48369,189.04779,165.37077,163.23415,168.57164,10.612358,172.74161,183.35397
8.0,41.0,38.0,45.0,43.0,51.0,130.0,245.0,45.0,57.0,6.0,128.0,39.0,35.0,14.0,41.0,180.06091,182.62733,182.04903,170.2367,172.38016,5.755554,177.47083,183.22638
