Round,YE (g/L),Tryptone (g/L),NaCl (g/L),K2HPO4 (g/L),MgSO4·7H2O (g/L),Glycerol (g/L),FAC (g/L),Na2S2O3 (g/L),Triton X-100 (g/L),Glycine (g/L),NH4OAc (g/L),CSL-P (g/L),ZnSO4·7H2O (g/L),Methionine (g/L),Cysteine (g/L),(NH4)2SO4 (g/L),EGT titer (mg/L),Medium material cost (CNY/L),EGT efficiency cost (mg /CNY)
Round 1,11.911765,11.294118,2.470588,3,0.235294,34.941176,0.216471,2.4,3.858824,1.058824,0.847059,26.617647,1.929412,3.323529,5.352941,0,277.273037,46.759944,5.929713
Round 1,33.235294,11.294118,2.205882,2.352941,0.8,38.117647,0.075294,5.929412,1.694118,1.058824,0.847059,6.617647,0.847059,6,4,0,301.546276,45.213442,6.669394
Round 1,33.235294,8.705882,1.5,1,1.788235,44.823529,0.028235,2.964706,1.129412,1.058824,0.847059,16.617647,1.129412,0.676471,4.647059,0,186.032344,46.748021,3.97947
Round 1,30.588235,6,2.205882,1,0.8,44.823529,0.145882,5.929412,4.988235,0,0.847059,6.617647,0,5.323529,0.647059,0,244.249955,35.467353,6.886614
Round 1,11.911765,11.294118,3.176471,1.235294,1.976471,41.647059,0.192941,5.929412,0.564706,0,0,13.382353,0,2,0.647059,0,187.665492,33.512729,5.599827
Round 1,27.941176,6,4.5,2.529412,1.788235,44.823529,0.169412,2.4,4.988235,0,0,6.617647,0,6,4,0,278.381884,36.3814,7.651764
Round 1,25.294118,7.294118,4.5,2.529412,1.788235,18,0.192941,2.964706,1.694118,10,6.211765,13.382353,2.211765,5.323529,2.647059,8,0,42.191875,0
Round 1,27.941176,8.705882,2.205882,2.764706,0.423529,14.823529,0.028235,1.411765,1.694118,4.470588,0,0,0.282353,4,5.352941,2.705882,68.597246,34.014026,2.016734
Round 1,35.882353,18,3.529412,1.235294,0.611765,28.235294,0.028235,3.388235,1.129412,1.058824,0,16.617647,1.129412,6,2,1.764706,237.349637,58.237374,4.075555
Round 1,14.558824,8.705882,3.176471,2.529412,1.411765,34.941176,0.24,2.4,0,4.470588,7.905882,6.617647,2.211765,1.323529,5.352941,5.294118,0,33.050475,0
Round 1,14.558824,12.705882,3.529412,2.117647,0.8,28.235294,0.075294,2.964706,2.729412,8.941176,2.682353,6.617647,1.929412,2,2,7.058824,0,35.919473,0
Round 1,25.294118,16.705882,3.529412,1.882353,1.976471,44.823529,0.122353,2.4,0,10,6.211765,6.617647,0.847059,4.676471,4.647059,7.058824,0,50.536066,0
Round 1,22.5,8.705882,4.147059,1.882353,1.411765,34.941176,0.145882,5.364706,1.129412,6.705882,4.376471,6.617647,1.647059,3.323529,2.647059,4.470588,5.158786,36.611471,0.140906
Round 1,35.882353,16.705882,3.529412,1.647059,0.423529,18,0.24,3.952941,2.729412,6.705882,2.682353,23.382353,0.282353,6,1.352941,0,22.684865,62.677779,0.361928
Round 1,27.941176,11.294118,2.205882,1.235294,1.411765,38.117647,0.051765,3.952941,1.129412,3.294118,2.682353,20,2.494118,6,4.647059,0,199.872153,52.198619,3.82907
Round 1,33.235294,12.705882,4.5,2.529412,1.6,38.117647,0.051765,2.4,1.129412,1.058824,0.847059,3.382353,2.494118,3.323529,0.647059,4.470588,225.731934,41.051042,5.498811
Round 1,35.882353,6,1.5,1.235294,0.988235,34.941176,0.216471,2.4,4.423529,2.235294,3.529412,3.382353,1.929412,5.323529,5.352941,0.941176,93.149157,39.77892,2.341671
Round 1,22.5,8.705882,1.852941,2.352941,0.8,18,0.169412,4.941176,2.729412,2.235294,4.376471,3.382353,0.847059,6,5.352941,2.705882,0,35.364548,0
Round 1,30.588235,16.705882,3.794118,3,0.611765,38.117647,0.098824,1.411765,0.564706,6.705882,2.682353,20,0.282353,1.323529,5.352941,0,18.058263,59.077061,0.305673
Round 1,33.235294,12.705882,4.5,1.235294,0.8,41.647059,0.145882,2.964706,1.129412,7.764706,0,10,1.364706,1.323529,4,1.764706,0,48.575339,0
Round 1,17.205882,14,2.470588,1.647059,1.223529,34.941176,0.24,4.376471,0,2.235294,4.376471,13.382353,0,6,0.647059,7.058824,0,42.221576,0
Round 1,19.852941,15.294118,3.794118,1.235294,0.611765,14.823529,0.145882,3.388235,4.423529,1.058824,6.211765,16.617647,0.847059,3.323529,0.647059,7.058824,0,45.854972,0
Round 1,27.941176,7.294118,2.470588,1.235294,1.223529,18,0.122353,3.388235,0,4.470588,0.847059,20,1.647059,3.323529,0.647059,3.529412,125.170515,42.231247,2.963931
Round 1,35.882353,12.705882,4.5,1.882353,0.423529,28.235294,0.145882,2.4,0,8.941176,3.529412,30,0.564706,5.323529,6,2.705882,0,66.251522,0
Round 1,22.5,12.705882,3.529412,2.764706,1.976471,18,0.098824,4.376471,4.423529,1.058824,5.223529,26.617647,1.364706,0.676471,0,0,167.43168,49.514927,3.381438
Round 1,27.941176,8.705882,1.852941,1.647059,0.423529,18,0.24,1.976471,3.294118,4.470588,2.682353,26.617647,0.847059,4,4,0.941176,61.233696,51.600336,1.186692
Round 1,27.941176,8.705882,4.147059,3,1.788235,14.823529,0.24,4.941176,3.858824,0,6.211765,23.382353,1.647059,0,0.647059,0,148.119887,45.718035,3.239857
Round 1,14.558824,7.294118,2.823529,1,0.235294,21.529412,0.216471,4.941176,3.858824,0,7.058824,23.382353,1.129412,0.676471,2.647059,2.705882,0,38.736245,0
Round 1,33.235294,18,4.147059,1.647059,0.988235,34.941176,0.075294,4.376471,1.129412,2.235294,6.211765,16.617647,1.364706,2.676471,2,1.764706,0,57.740351,0
Round 1,17.205882,10,2.470588,1.647059,0.988235,18,0.192941,3.952941,4.988235,1.058824,0.847059,6.617647,0,2,5.352941,0.941176,118.322875,33.566659,3.525012
Round 1,19.852941,10,1.5,1.235294,1.6,41.647059,0.075294,1.976471,4.988235,1.058824,3.529412,0,1.647059,0,2,8,0,29.357118,0
Round 1,17.205882,18,2.470588,2.117647,1.976471,34.941176,0.122353,2.964706,2.729412,3.294118,1.694118,0,0.847059,3.323529,2.647059,0,201.439172,38.294372,5.260281
Round 1,11.911765,12.705882,2.470588,1.647059,0.611765,21.529412,0.028235,4.376471,2.258824,10,6.211765,20,0.564706,3.323529,4.647059,0,0,45.892781,0
Round 1,22.5,15.294118,2.823529,2.117647,0.423529,38.117647,0.122353,5.364706,1.694118,8.941176,4.376471,3.382353,1.364706,0.676471,0,5.294118,0,40.00448,0
Round 1,11.911765,18,2.823529,1,0.988235,34.941176,0.122353,5.364706,1.694118,4.470588,6.211765,16.617647,2.211765,6,5.352941,0.941176,0,50.776075,0
Round 1,17.205882,10,2.205882,1,1.6,31.411765,0.122353,1.411765,2.258824,2.235294,4.376471,0,1.364706,1.323529,1.352941,6.235294,3.832658,27.139645,0.14122
Round 1,30.588235,15.294118,3.529412,1.470588,0.8,41.647059,0.169412,2.964706,0.564706,4.470588,6.211765,13.382353,2.211765,5.323529,5.352941,0,0,55.159793,0
Round 1,17.205882,12.705882,2.205882,1.882353,0.235294,44.823529,0.075294,5.364706,1.694118,2.235294,3.529412,16.617647,1.929412,0,2.647059,8,0,42.95492,0
Round 1,17.205882,18,3.529412,2.529412,0.8,34.941176,0.051765,5.364706,0.564706,10,3.529412,16.617647,2.494118,4,3.352941,8,0,52.784725,0
Round 1,27.941176,6,2.470588,1.235294,1.223529,38.117647,0.028235,2.4,2.258824,7.764706,7.905882,3.382353,1.129412,1.323529,2,0.941176,0,33.522786,0
Round 1,17.205882,16.705882,3.176471,1.882353,1.223529,28.235294,0.169412,3.952941,0,7.764706,7.058824,23.382353,0.564706,4.676471,5.352941,5.294118,0,56.448264,0
Round 1,27.941176,15.294118,3.176471,2.529412,1.411765,14.823529,0.122353,3.388235,1.129412,8.941176,2.682353,23.382353,0.564706,0.676471,0,0.941176,84.480324,53.884311,1.567809
Round 1,11.911765,16.705882,1.852941,2.764706,0.611765,28.235294,0.098824,4.941176,0.564706,7.764706,4.376471,13.382353,0.564706,0,4.647059,0.941176,0,44.189405,0
Round 1,27.941176,10,2.470588,2.764706,1.788235,41.647059,0.216471,4.376471,3.858824,2.235294,0,13.382353,0.282353,2,2.647059,0.941176,246.298156,43.484179,5.664087
Round 1,11.911765,7.294118,2.205882,1,0.8,24.705882,0.145882,3.952941,3.294118,2.235294,7.058824,30,0,4.676471,0.647059,7.058824,0,42.443329,0
Round 1,17.205882,8.705882,1.852941,3,0.423529,44.823529,0.051765,5.929412,4.988235,3.294118,7.058824,26.617647,2.494118,4,4.647059,3.529412,0,49.76556,0
Round 1,25.294118,16.705882,2.205882,1.647059,1.976471,28.235294,0.051765,4.376471,0.564706,7.764706,0,16.617647,0.847059,2.676471,4.647059,8,0,53.887936,0
Round 1,25.294118,12.705882,3.529412,2.352941,1.788235,21.529412,0.169412,1.976471,4.423529,4.470588,6.211765,20,0.847059,4,4,1.764706,0,51.820325,0
Round 1,19.852941,11.294118,1.852941,1,0.988235,34.941176,0.24,4.376471,2.729412,6.705882,0,3.382353,2.494118,4,2,0.941176,210.422061,34.84476,6.038844
Round 1,25.294118,16.705882,1.5,2.352941,1.223529,14.823529,0.122353,3.388235,1.694118,3.294118,5.223529,6.617647,1.129412,0.676471,2,0.941176,140.825628,43.465151,3.239966
Round 1,30.588235,14,2.205882,2.352941,0.423529,31.411765,0.051765,1.976471,1.694118,8.941176,5.223529,3.382353,0.564706,6,2.647059,1.764706,0,45.901193,0
Round 1,11.911765,14,2.205882,1.235294,0.988235,31.411765,0.24,3.952941,2.258824,7.764706,0,10,0.847059,6,2.647059,2.705882,0,39.226619,0
Round 1,19.852941,12.705882,2.205882,1,0.423529,31.411765,0.028235,3.388235,4.423529,3.294118,2.682353,3.382353,1.929412,0,4,3.529412,0,35.862473,0
Round 1,27.941176,7.294118,1.5,3,1.6,41.647059,0.075294,2.964706,0.564706,1.058824,1.694118,30,1.647059,6,6,7.058824,0,54.802553,0
Round 1,27.941176,16.705882,1.852941,3,0.988235,31.411765,0.098824,2.4,0.564706,6.705882,5.223529,16.617647,1.364706,6,6,8,0,58.474892,0
Round 1,19.852941,6,3.176471,1.647059,0.988235,31.411765,0.169412,5.929412,0.564706,10,3.529412,3.382353,1.929412,5.323529,3.352941,5.294118,0,31.735167,0
Round 2,30.588235,11.294118,3.176471,2.117647,1.223529,38.117647,0.098824,3.952941,3.858824,4.470588,0.847059,13.382353,1.647059,6,6,0,303.7961,50.876588,5.971236
Round 2,27.941176,6,3.529412,3,1.223529,28.235294,0.216471,1.976471,4.423529,5.529412,0,6.617647,2.494118,0.676471,4,0,263.22084,34.948254,7.531731
Round 2,33.235294,11.294118,2.470588,2.764706,1.411765,28.235294,0.216471,4.376471,1.694118,2.235294,0,3.382353,1.364706,2.676471,5.352941,0,304.09534,42.284292,7.191686
Round 2,22.5,10,4.5,2.529412,0.8,38.117647,0.122353,5.364706,1.694118,0,0.847059,13.382353,0.282353,4.676471,4,0,255.501459,41.541579,6.150499
Round 2,30.588235,14,4.5,2.764706,1.788235,38.117647,0.028235,1.976471,3.294118,3.294118,0,23.382353,0.847059,4.676471,3.352941,0,295.016141,57.312878,5.147467
Round 2,17.205882,7.294118,1.852941,1.882353,1.6,31.411765,0.145882,4.376471,3.858824,0,0,6.617647,1.647059,4,6,0,290.433137,31.976906,9.08259
Round 2,17.205882,11.294118,1.5,3,1.223529,24.705882,0.192941,2.4,2.729412,1.058824,0,16.617647,1.647059,6,6,0,197.608545,43.543494,4.538188
Round 2,27.941176,11.294118,2.823529,1.235294,1.223529,28.235294,0.075294,1.976471,4.423529,5.529412,0,26.617647,0.282353,2,3.352941,0,241.024559,53.739426,4.48506
Round 2,33.235294,16.705882,2.470588,2.352941,0.988235,38.117647,0.192941,2.964706,4.423529,3.294118,0,26.617647,1.129412,3.323529,4.647059,0,323.045921,64.706339,4.992493
Round 2,27.941176,7.294118,3.794118,2.117647,1.6,28.235294,0.098824,2.4,2.258824,2.235294,0,26.617647,0.847059,1.323529,6,0,239.536897,49.709701,4.818715
Round 2,17.205882,8.705882,2.470588,2.117647,1.976471,41.647059,0.028235,1.411765,1.694118,5.529412,0.847059,6.617647,1.647059,4.676471,6,0,301.42627,35.2872,8.542085
Round 2,25.294118,15.294118,2.470588,1.470588,0.235294,34.941176,0.122353,3.388235,1.694118,0,0,30,2.211765,5.323529,5.352941,0,285.307336,60.614146,4.706943
Round 2,27.941176,12.705882,4.5,2.117647,0.611765,31.411765,0.169412,5.929412,4.423529,0,0,16.617647,1.929412,2,4.647059,0,275.305737,49.342779,5.579453
Round 2,27.941176,6,3.176471,1.470588,0.988235,38.117647,0.145882,3.388235,3.858824,0,0,0,1.129412,3.323529,3.352941,0,263.715613,29.855233,8.833145
Round 2,25.294118,16.705882,2.470588,1.470588,0.8,31.411765,0.192941,1.411765,3.858824,5.529412,0,10,0.847059,3.323529,4.647059,0,260.616477,49.142466,5.303284
Round 2,27.941176,18,1.852941,2.529412,1.223529,41.647059,0.075294,5.929412,3.858824,2.235294,0,23.382353,0.282353,3.323529,6,0,293.844753,62.335555,4.713919
Round 2,33.235294,15.294118,4.5,3,1.788235,41.647059,0.192941,4.376471,2.729412,5.529412,0,13.382353,2.494118,4,4.647059,0,310.042228,55.656736,5.570615
Round 2,35.882353,6,4.147059,2.117647,0.8,41.647059,0.24,2.4,4.988235,0,0.847059,16.617647,1.129412,3.323529,6,0,337.875047,47.636374,7.092795
Round 2,25.294118,12.705882,1.5,1.647059,1.976471,28.235294,0.028235,1.411765,3.294118,3.294118,0.847059,10,1.364706,0.676471,6,0,273.117428,43.713598,6.247883
Round 2,25.294118,12.705882,2.470588,1.647059,1.411765,31.411765,0.122353,4.941176,4.988235,5.529412,0.847059,10,0.282353,5.323529,5.352941,0,256.693702,46.771544,5.488245
Round 2,25.294118,14,2.823529,1.647059,1.788235,28.235294,0.216471,3.952941,2.258824,0,0,30,1.364706,2,5.352941,0,260.471811,57.684245,4.515476
Round 2,19.852941,10,2.470588,2.529412,0.988235,31.411765,0.122353,1.411765,1.129412,3.294118,0,3.382353,2.211765,2,4,0,274.137731,32.186852,8.517072
Round 2,22.5,14,2.823529,1.235294,1.411765,41.647059,0.028235,5.929412,1.129412,2.235294,0,3.382353,1.929412,4.676471,6,0,236.727363,41.507402,5.703257
Round 2,27.941176,8.705882,4.147059,2.352941,1.976471,41.647059,0.192941,1.976471,0,1.058824,0.847059,3.382353,2.211765,4.676471,4.647059,0,191.158492,36.67804,5.211797
Round 2,33.235294,6,4.5,2.529412,0.611765,31.411765,0.145882,2.964706,4.988235,0,0.847059,20,1.364706,0.676471,6,0,299.905619,46.945668,6.388356
Round 2,33.235294,14,2.205882,2.117647,1.223529,44.823529,0.028235,4.941176,0,1.058824,0.847059,3.382353,1.929412,6,6,0,227.963512,47.582238,4.790937
Round 2,17.205882,11.294118,2.470588,2.352941,0.988235,44.823529,0.216471,5.364706,0.564706,4.470588,0,30,2.211765,0,6,0,236.893011,52.077628,4.548844
Round 2,30.588235,15.294118,4.5,1.647059,0.235294,44.823529,0.028235,2.964706,2.729412,3.294118,0,6.617647,1.129412,4.676471,4.647059,0,291.468832,48.864445,5.964845
Round 2,33.235294,16.705882,3.176471,1.882353,1.411765,34.941176,0.145882,3.952941,3.858824,6.705882,0.847059,23.382353,2.494118,5.323529,4,0,296.161814,63.964866,4.63007
Round 2,19.852941,8.705882,2.205882,1.647059,1.6,38.117647,0.028235,2.4,0.564706,0,0,6.617647,1.929412,4.676471,6,0,217.512957,34.64172,6.278931
Round 2,25.294118,11.294118,3.794118,2.529412,0.235294,28.235294,0.075294,1.411765,3.294118,2.235294,0.847059,13.382353,1.647059,3.323529,4,0,239.911506,43.830082,5.473672
Round 2,30.588235,15.294118,3.529412,1.647059,0.235294,34.941176,0.075294,2.964706,1.694118,0,0.847059,6.617647,1.647059,3.323529,5.352941,0,302.625694,47.335341,6.393229
Round 2,30.588235,18,2.823529,1.882353,1.411765,28.235294,0.122353,3.952941,3.294118,4.470588,0,16.617647,2.494118,6,2.647059,0,301.051921,57.546819,5.231426
Round 2,27.941176,10,3.176471,1.882353,0.611765,44.823529,0.122353,5.364706,2.729412,0,0.847059,16.617647,0,4.676471,2.647059,0,274.919861,46.047859,5.970307
Round 2,17.205882,12.705882,2.205882,1.470588,0.988235,31.411765,0.028235,4.376471,3.858824,1.058824,0.847059,6.617647,0.847059,0,3.352941,0,273.538682,34.983066,7.819174
Round 2,35.882353,14,1.852941,3,1.6,34.941176,0.216471,4.376471,0.564706,0,0.847059,16.617647,2.211765,2.676471,3.352941,0,237.553027,53.936652,4.404297
Round 2,30.588235,12.705882,1.5,1.882353,1.223529,24.705882,0.24,5.929412,2.258824,3.294118,0.847059,23.382353,1.129412,4,3.352941,0,284.448146,55.202139,5.152846
Round 2,11.911765,12.705882,3.794118,1.235294,0.423529,28.235294,0.098824,4.941176,0.564706,5.529412,0.847059,23.382353,2.494118,5.323529,4,0,228.248622,46.434172,4.915531
Round 2,11.911765,8.705882,3.529412,3,1.6,24.705882,0.075294,4.941176,2.258824,5.529412,0,16.617647,2.211765,0,4.647059,0,174.034173,35.972381,4.837994
Round 2,22.5,14,1.5,1.882353,1.411765,14.823529,0.216471,3.952941,3.858824,3.294118,0.847059,23.382353,1.929412,5.323529,4.647059,0,177.176636,53.320826,3.322841
